ID,COD_SET_ZO,COD_QDR_ZO,COD_LOG_ZO,COD_CNDM_Z,COD_LOTE_Z,SGL_SUBP_E,SGL_DSTR_E,COD_TSTD_Z,IND_VRFC_E,IND_EXCL_I,SGL_ZONA_0,COD_PRMR_0,SGL_LNDR_0,COD_TIP_LE,COD_LEGC_0,ANO_LEGC_0,IND_ADCA_C,SGL_ZONA_1,COD_PRMR_1,SGL_LNDR_1,COD_TIP__1,COD_LEGC_1,ANO_LEGC_1,SGL_ZONA_2,COD_PRMR_2,SGL_LNDR_2,COD_TIP__2,COD_LEGC_2,ANO_LEGC_2,SGL_ZONA_3,COD_PRMR_3,SGL_LNDR_3,COD_TIP__3,COD_LEGC_3,ANO_LEGC_3,SGL_ZONA_4,COD_PRMR_4,SGL_LNDR_4,COD_TIP__4,COD_LEGC_4,ANO_LEGC_4,SGL_ZONA_5,COD_PRMR_5,SGL_LNDR_5,COD_TIP__5,COD_LEGC_5,ANO_LEGC_5,COD_AREA_C,COD_AREA_L,COD_END_LO,COD_NUM_PO,COD_SIT,VALOR_MET_,VALOR_ME_1,NUM_PAV,SGL_ZON_UR,ANO_CONST,IND_EXCL_O,TXT_OBS_01,NOME_CID_E,NOME_EST_E,REG_LIM_AD
"229230494445000011","229","230","494445","00","0011",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",180.00,130.00,RUA INES SABINO,"58",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000010","229","230","494445","00","0010",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,130.00,RUA INES SABINO,"52",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000009","229","230","494445","00","0009",IT,IPA,"1",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",150.00,130.00,RUA INES SABINO,"48",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229230494445000001","229","230","494445","00","0001",IT,IPA,"2",S,S,ZEIS-2,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",220.00,130.00,RUA INES SABINO,"8",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229229494445000019","229","229","494445","00","0019",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",100.00,130.00,RUA INES SABINO,"99",,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229201396184000012","229","201","396184","00","0012",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,169.00,RUA PETRONIO ROSA DE SANTANA-COLE,"76",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229201396184000011","229","201","396184","00","0011",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,115.00,RUA PETRONIO ROSA DE SANTANA-COLE,"70",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229201396184000010","229","201","396184","00","0010",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,115.00,RUA PETRONIO ROSA DE SANTANA-COLE,"66",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229201396184000009","229","201","396184","00","0009",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",90.00,115.00,RUA PETRONIO ROSA DE SANTANA-COLE,"60",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
"229201396184000008","229","201","396184","00","0008",IT,IPA,"1",S,S,ZEIS-1,"0",,,"0","0",S,QA,"9",,,"0","0",MA,"3",,L,"16050","2014",,"0",,,"0","0",,"0",,,"0","0",,"0",,,"0","0",70.00,115.00,RUA PETRONIO ROSA DE SANTANA-COLE,"54",D,0.00,0.00,,U,,,,SAO PAULO,SAO PAULO,LESTE 2
